"2025-03-26_13h09m59s,02m",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"0,50341545555843503200","1,99488E-07","9,1503E-08","3,07473E-07","6,8028E-08","1,1688E-08","1,3253E-08","2,92728E-06","3,61588E-06","2,65967E-06","1,39045E-06","1,1688E-08","1,1688E-08","1,95385E-06","2,44873E-07","1,3253E-08","1,3253E-08","1,4818E-08","1,3253E-08","1,1688E-08","2,2643E-08"
"0,50541937819574966900","2,01053E-07","9,1503E-08","3,10603E-07","6,4898E-08","1,1688E-08","1,1688E-08","2,93511E-06","3,62997E-06","2,66436E-06","1,39515E-06","1,3253E-08","1,1688E-08","1,9742E-06","2,41743E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,4818E-08","1,1688E-08","2,2643E-08"
"0,50742330083306419500","2,01053E-07","9,3068E-08","3,12168E-07","6,8028E-08","1,3253E-08","1,3253E-08","2,94763E-06","3,64092E-06","2,66749E-06","1,40141E-06","1,3253E-08","1,1688E-08","1,97889E-06","2,18268E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,1688E-08","2,4208E-08"
"0,50942722347037883100","2,02618E-07","8,8373E-08","3,13733E-07","6,3333E-08","1,3253E-08","1,3253E-08","2,96015E-06","3,65501E-06","2,67219E-06","1,40923E-06","1,3253E-08","1,1688E-08","1,98828E-06","2,26093E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,1688E-08","2,2643E-08"
"0,51143114610769346800","2,02618E-07","8,9938E-08","3,16863E-07","6,6463E-08","1,3253E-08","1,1688E-08","2,96954E-06","3,66596E-06","2,67845E-06","1,4108E-06","1,3253E-08","1,3253E-08","1,99924E-06","2,26093E-07","1,0123E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,1688E-08","2,2643E-08"
"0,51343506874500810500","2,04183E-07","8,9938E-08","3,18428E-07","6,4898E-08","1,3253E-08","1,3253E-08","2,97736E-06","3,68318E-06","2,68314E-06","1,41393E-06","1,1688E-08","1,1688E-08","2,00237E-06","2,21398E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","2,4208E-08"
"0,51543899138232274200","2,05748E-07","9,1503E-08","3,18428E-07","6,4898E-08","1,1688E-08","1,3253E-08","2,99145E-06","3,691E-06","2,68627E-06","1,41862E-06","1,3253E-08","1,1688E-08","2,01332E-06","2,26093E-07","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,3253E-08","2,2643E-08"
"0,51744291401963737900","2,05748E-07","9,3068E-08","3,21558E-07","6,4898E-08","1,1688E-08","1,3253E-08","3,00397E-06","3,70822E-06","2,69253E-06","1,42488E-06","1,3253E-08","1,1688E-08","2,02428E-06","2,13573E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","2,5773E-08"
"0,51944683665695201600","2,08878E-07","8,9938E-08","3,19993E-07","6,8028E-08","1,1688E-08","1,4818E-08","3,01492E-06","3,71448E-06","2,69723E-06","1,43114E-06","1,3253E-08","1,3253E-08","2,0321E-06","2,16703E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,3253E-08","2,4208E-08"
"0,52145075929426665200","2,10443E-07","9,1503E-08","3,21558E-07","6,9593E-08","1,1688E-08","1,3253E-08","3,02588E-06","3,72543E-06","2,70662E-06","1,43427E-06","1,3253E-08","1,3253E-08","2,03054E-06","2,22963E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","2,5773E-08"
