"2025-04-07_15h55m29s,05m",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"-0,423789526","1,96341E-06","7,8485E-06","1,23957E-08","1,27029E-08","2,2513E-06","2,76133E-06","1,39292E-06","1,06355E-08","1,02627E-08","1,41654E-06","1,91013E-06","3,88205E-06","2,34497E-06","3,25907E-06","1,27265E-08","4,3212E-06","1,03662E-06","5,94443E-06","3,17097E-06","2,23395E-06"
"-0,421785603","1,95587E-06","7,83685E-06","1,23613E-08","1,26688E-08","2,24325E-06","2,75003E-06","1,3893E-06","1,06696E-08","1,02898E-08","1,41157E-06","1,90136E-06","3,86585E-06","2,33534E-06","3,24278E-06","1,2709E-08","4,30321E-06","1,03233E-06","5,92462E-06","3,15867E-06","2,22607E-06"
"-0,419781681","1,94833E-06","7,82495E-06","1,23188E-08","1,26212E-08","2,23513E-06","2,73866E-06","1,38564E-06","1,07089E-08","1,03292E-08","1,4066E-06","1,89261E-06","3,84964E-06","2,3257E-06","3,22656E-06","1,2681E-08","4,28517E-06","1,02803E-06","5,90469E-06","3,14634E-06","2,21817E-06"
"-0,417777758","1,9408E-06","7,81281E-06","1,22683E-08","1,25603E-08","2,22696E-06","2,72723E-06","1,38195E-06","1,07535E-08","1,0381E-08","1,40164E-06","1,88389E-06","3,83344E-06","2,31605E-06","3,2104E-06","1,26424E-08","4,26709E-06","1,02373E-06","5,88463E-06","3,13398E-06","2,21028E-06"
"-0,415773836","1,93325E-06","7,80042E-06","1,22096E-08","1,2486E-08","2,21873E-06","2,71574E-06","1,37823E-06","1,08033E-08","1,04451E-08","1,3967E-06","1,87519E-06","3,81723E-06","2,30639E-06","3,19431E-06","1,25933E-08","4,24894E-06","1,01943E-06","5,86445E-06","3,1216E-06","2,20237E-06"
"-0,413769913","1,92571E-06","7,78779E-06","1,2143E-08","1,23982E-08","2,21044E-06","2,70419E-06","1,37447E-06","1,08583E-08","1,05217E-08","1,39177E-06","1,86652E-06","3,80103E-06","2,29673E-06","3,17829E-06","1,25336E-08","4,23075E-06","1,01512E-06","5,84415E-06","3,10918E-06","2,19447E-06"
"-0,41176599","1,91817E-06","7,77492E-06","1,20682E-08","1,22971E-08","2,20208E-06","2,69259E-06","1,37068E-06","1,09186E-08","1,06105E-08","1,38684E-06","1,85787E-06","3,78482E-06","2,28705E-06","3,16233E-06","1,24634E-08","4,21251E-06","1,01081E-06","5,82372E-06","3,09674E-06","2,18656E-06"
"-0,409762068","1,91063E-06","7,7618E-06","1,19854E-08","1,21826E-08","2,19367E-06","2,68092E-06","1,36685E-06","1,09841E-08","1,07117E-08","1,38193E-06","1,84925E-06","3,76861E-06","2,27736E-06","3,14644E-06","1,23827E-08","4,19421E-06","1,0065E-06","5,80318E-06","3,08427E-06","2,17864E-06"
"-0,407758145","1,90308E-06","7,74844E-06","1,18945E-08","1,20547E-08","2,1852E-06","2,66919E-06","1,363E-06","1,10548E-08","1,08253E-08","1,37704E-06","1,84065E-06","3,7524E-06","2,26767E-06","3,13062E-06","1,22914E-08","4,17587E-06","1,00218E-06","5,7825E-06","3,07178E-06","2,17072E-06"
"-0,405754222","1,89554E-06","7,73483E-06","1,17955E-08","1,19134E-08","2,17667E-06","2,65741E-06","1,3591E-06","1,11307E-08","1,09513E-08","1,37215E-06","1,83208E-06","3,73619E-06","2,25796E-06","3,11487E-06","1,21896E-08","4,15747E-06","9,97854E-07","5,76171E-06","3,05925E-06","2,16279E-06"
"-0,4037503","1,88799E-06","7,72098E-06","1,16885E-08","1,17586E-08","2,16808E-06","2,64556E-06","1,35518E-06","1,12119E-08","1,10895E-08","1,36727E-06","1,82353E-06","3,71998E-06","2,24825E-06","3,09918E-06","1,20772E-08","4,13902E-06","9,93527E-07","5,74079E-06","3,0467E-06","2,15486E-06"
