"-0,169902551","2,04183E-07","1,3253E-08","1,3253E-08.1","1,3253E-08.2","1,1688E-08","1,4818E-08","9,77293E-07","1,3253E-08.3","1,1688E-08.1","2,49691E-06","1,3253E-08.4","4,73363E-07","1,01955E-06","1,3253E-08.5","1,1688E-08.2","2,07749E-06","8,02013E-07","3,62248E-07","1,3253E-08.6","2,30285E-06"
"-0,113792717","2,08878E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,4818E-08","9,78858E-07","1,3253E-08","1,3253E-08","2,49378E-06","1,1688E-08","4,73363E-07","1,02111E-06","1,3253E-08","1,3253E-08","2,08375E-06","8,02013E-07","3,63813E-07","1,1688E-08","2,30598E-06"
"-0,111788794","2,07313E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49691E-06","1,3253E-08","4,73363E-07","1,01955E-06","1,4818E-08","1,3253E-08","2,08531E-06","8,03578E-07","3,62248E-07","1,3253E-08","2,30754E-06"
"-0,109784871","2,07313E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","9,78858E-07","1,3253E-08","1,3253E-08","2,49378E-06","1,3253E-08","4,73363E-07","1,02111E-06","1,4818E-08","1,3253E-08","2,08844E-06","8,02013E-07","3,62248E-07","1,3253E-08","2,30911E-06"
"-0,107780949","2,08878E-07","1,3253E-08","1,1688E-08","1,4818E-08","1,3253E-08","1,1688E-08","9,77293E-07","1,3253E-08","1,3253E-08","2,49534E-06","1,1688E-08","4,73363E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,09001E-06","8,02013E-07","3,63813E-07","1,1688E-08","2,30754E-06"
"-0,105777026","2,12008E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,4818E-08","9,78858E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,73363E-07","1,02111E-06","1,3253E-08","1,1688E-08","2,09157E-06","8,02013E-07","3,63813E-07","1,3253E-08","2,30754E-06"
"-0,103773104","2,07313E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,77293E-07","1,3253E-08","1,1688E-08","2,49534E-06","1,3253E-08","4,73363E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,09001E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,30598E-06"
"-0,101769181","2,07313E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","9,81988E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,73363E-07","1,02111E-06","1,4818E-08","1,3253E-08","2,08844E-06","8,03578E-07","3,62248E-07","1,3253E-08","2,30911E-06"
"-0,099765258","2,08878E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,4818E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,1688E-08","2,49847E-06","1,3253E-08","4,74928E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,09157E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,30754E-06"
"-0,097761336","2,10443E-07","1,4818E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,4818E-08","1,1688E-08","2,50004E-06","1,1688E-08","4,73363E-07","1,02111E-06","1,4818E-08","1,3253E-08","2,09001E-06","8,03578E-07","3,60683E-07","1,3253E-08","2,30598E-06"
"-0,095757413","2,08878E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,5016E-06","1,3253E-08","4,74928E-07","1,01955E-06","1,3253E-08","1,3253E-08","2,09001E-06","8,03578E-07","3,63813E-07","1,1688E-08","2,30754E-06"
